Year,State,Total yield loss (1000 metric tons),Total yield loss(kg/ha),Total production(1000 metric tons),Yield (kg/ha)
2005,Alabama,1.42,24.12,130.2,2196.8
2006,Alabama,10.89,179.33,81.6,1558.0
2007,Alabama,1.63,21.81,105.7,1602.8
2008,Alabama,13.06,92.23,333.4,2441.2
2009,Alabama,22.04,126.68,468.1,2549.9
2010,Alabama,9.53,68.22,244.1,1728.3
2011,Alabama,5.71,47.85,264.9,2020.9
2012,Alabama,12.03,88.70,410.3,2904.1
2013,Alabama,21.45,124.73,497.4,2891.8
2014,Alabama,26.11,135.81,517.1,2690.0
2015,Alabama,7.16,36.13,546.8,2757.3
2005,Arkansas,1.63,1.34,2776.0,1950.3
2006,Arkansas,5.44,4.38,2924.4,1979.1
2007,Arkansas,9.53,8.35,2763.0,2094.4
2008,Arkansas,2.72,2.07,3361.2,2176.0
2009,Arkansas,90.08,68.07,3337.4,2210.8
2010,Arkansas,20.41,16.01,3000.6,1891.2
2011,Arkansas,24.64,18.56,3381.9,1967.9
2012,Arkansas,18.44,14.42,3698.1,2410.9
2013,Arkansas,34.92,26.72,3824.0,2925.4
2014,Arkansas,48.02,36.96,4368.2,3362.5
2015,Arkansas,84.64,65.98,4227.5,3295.3
2005,Delaware,0.82,11.09,128.8,1844.9
2006,Delaware,0.00,0.00,151.8,2183.4
2007,Delaware,0.00,0.00,109.7,1827.0
2008,Delaware,0.00,0.00,144.5,1849.4
2009,Delaware,0.00,0.00,209.2,2880.5
2010,Delaware,0.00,0.00,150.7,2176.7
2011,Delaware,1.30,19.11,178.3,2690.0
2012,Delaware,0.00,0.06,194.3,2936.6
2013,Delaware,9.95,150.78,177.4,2690.0
2014,Delaware,0.25,3.32,239.1,3228.0
2015,Delaware,1.05,14.97,188.3,2690.0
2005,Florida,0.54,168.12,15.7,2127.3
2006,Florida,0.19,94.15,7.0,1748.5
2007,Florida,0.00,0.00,3.7,1627.5
2008,Florida,1.09,92.76,7.8,2006.3
2009,Florida,1.63,118.68,30.0,2555.5
2010,Florida,0.54,58.48,35.2,2017.5
2011,Florida,0.31,47.78,18.8,1815.8
2012,Florida,0.73,90.06,21.2,2622.8
2013,Florida,1.89,155.99,33.5,2757.3
2014,Florida,1.11,74.37,43.3,2891.8
2015,Florida,0.56,47.44,30.0,2555.5
2005,Georgia,11.43,161.40,123.8,1807.3
2006,Georgia,5.44,96.07,95.3,1748.5
2007,Georgia,7.89,68.43,232.7,1891.4
2008,Georgia,9.53,56.72,350.1,2055.3
2009,Georgia,15.79,88.65,431.1,2362.2
2010,Georgia,1.09,10.55,180.4,1714.0
2011,Georgia,0.22,4.02,80.8,1466.9
2012,Georgia,0.60,6.88,216.5,2462.2
2013,Georgia,1.36,14.89,244.9,2690.0
2014,Georgia,0.85,7.23,315.7,2690.0
2015,Georgia,0.97,7.75,362.8,2891.8
2005,Illinois,281.71,73.66,11959.4,3093.5
2006,Illinois,474.35,116.63,13129.0,3198.1
2007,Illinois,330.93,98.76,9802.7,2880.5
2008,Illinois,467.71,126.72,11665.9,3153.3
2009,Illinois,775.19,204.86,11705.6,3093.5
2010,Illinois,388.40,106.05,12684.7,3429.0
2011,Illinois,182.15,50.52,11333.3,3205.6
2012,Illinois,20.33,5.63,10439.0,2873.8
2013,Illinois,109.01,28.60,12562.4,3295.3
2014,Illinois,162.39,41.03,14905.7,3766.0
2015,Illinois,782.38,198.89,14814.2,3766.0
2005,Indiana,47.68,21.90,7174.7,3257.1
2006,Indiana,42.40,18.45,7729.3,3299.7
2007,Indiana,31.42,16.21,5996.8,2942.6
2008,Indiana,36.36,16.55,6650.2,2932.8
2009,Indiana,96.26,43.72,7254.7,3220.5
2010,Indiana,162.32,75.25,7035.5,3147.3
2011,Indiana,75.33,35.19,6478.8,2979.2
2012,Indiana,38.35,18.44,6085.2,2869.3
2013,Indiana,83.32,39.67,7203.8,3429.8
2014,Indiana,232.94,104.84,8367.3,3766.0
2015,Indiana,138.34,62.15,7484.4,3362.5
2005,Iowa,0.00,0.00,14288.4,3506.0
2006,Iowa,275.81,67.48,13881.5,3364.7
2007,Iowa,178.24,51.03,12213.5,3479.8
2008,Iowa,235.31,60.13,12237.8,3059.9
2009,Iowa,369.92,95.91,13227.8,3399.9
2010,Iowa,324.12,82.31,13505.4,3398.4
2011,Iowa,106.72,28.57,12685.8,3443.2
2012,Iowa,49.95,13.27,11263.3,2971.0
2013,Iowa,24.89,6.66,11190.7,2992.6
2014,Iowa,234.43,58.99,13763.9,3463.4
2015,Iowa,487.12,122.82,15069.5,3799.6
2005,Kansas,50.87,44.10,2869.9,2615.3
2006,Kansas,3.10,2.49,2682.4,2391.1
2007,Kansas,36.76,34.80,2344.1,2435.9
2008,Kansas,74.98,57.01,3272.7,2584.9
2009,Kansas,143.18,96.93,4370.9,3148.1
2010,Kansas,66.95,38.93,3759.2,2330.6
2011,Kansas,0.03,0.02,2755.6,1978.6
2012,Kansas,0.29,0.19,2281.2,1734.3
2013,Kansas,3.99,2.78,3468.4,2421.0
2014,Kansas,4.32,2.70,3879.9,2421.0
2015,Kansas,0.84,0.54,4044.6,2589.1
2005,Kentucky,1.50,2.98,1451.2,2681.0
2006,Kentucky,7.35,13.25,1640.6,2978.1
2007,Kentucky,2.72,6.11,823.3,1868.4
2008,Kentucky,3.54,6.34,1295.8,2135.2
2009,Kentucky,18.23,31.73,1855.0,3071.1
2010,Kentucky,4.08,7.26,1286.2,2557.7
2011,Kentucky,8.57,14.31,1570.9,2560.0
2012,Kentucky,2.06,3.47,1600.3,2684.4
2013,Kentucky,17.47,26.32,2209.4,3328.9
2014,Kentucky,20.51,28.96,2286.1,3228.0
2015,Kentucky,53.28,72.73,2413.8,3295.3
2005,Louisiana,30.21,87.82,786.5,2169.2
2006,Louisiana,35.11,103.28,823.0,2243.2
2007,Louisiana,38.10,156.92,702.2,2631.7
2008,Louisiana,48.44,126.00,853.2,2257.1
